A_id,B_id
123,33
1469,1600
1477,612
1501,52
1501,583
1501,612
1520,65
1545,181
1596,33
1637,14
164,14
1728,334
1754,472
1787,100
1787,181
1890,1054
1891,786
1994,550
2197,840
2336,984
2450,759
255,334
2686,2681
28,52
28,583
28,612
281,472
3065,1600
314,100
314,181
4,612
417,1054
418,786
47,65
521,550
72,181
724,840
863,984
977,759
997,1273
