product name,brand,price,number of colors/scent,rating
'Super Stay Full Coverage Foundation','Maybelline',$11.99,28,3.80
'Fluidity Full-Coverage Concealer','Morphe',$9.00,31,4.00
'Online Only Conceal &amp; Define Supersize Concealer','Makeup Revolution',$10.00,24,4.50
'Balance-n-Brighten Baked Color Correcting Foundation','Laura Geller',$17.00,0,4.50
'Infallible Full Wear Waterproof Concealer','L'Oréal',$12.99,25,4.50
'Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20','Tarte',$36.00,4,4.40
'Pat The Puss Kissable Body Shimmer','Too Faced',$36.00,0,4.20
'Online Only Aquasurance Compact Foundation','J.Cat Beauty',$13.99,8,4.00
'Moisturizing Foundation Stick','ULTA',$14.00,16,4.20
'Crystalized Highlighter','Smashbox',$39.00,0,4.30
'Loose Baking Powder','Makeup Revolution',$8.00,11,3.70
'BB Tinted Treatment 12 Hour Primer Broad Spectrum SPF 30','Tarte',$37.00,4,4.50
'Makeup Remover Cleansing Towelettes Twin-Pack','Neutrogena',$12.49,0,4.60
'Double Wear Stay In Place Matte Powder Foundation','Estée Lauder',$42.00,41,4.00
'Ulta Beauty Collection x Marvel&#39;s Avengers Highlight Palette','ULTA',$16.00,0,5.00
'Chocolate Gold Soleil Bronzer','Too Faced',$30.00,0,4.60
'Cream Lip + Cheek Pencil','NUDESTIX',$26.00,5,4.80
'No Filter Matte Concealer','ColourPop',$6.00,30,4.00
'HD Liquid Coverage Foundation','Catrice',$10.99,18,4.30
'Pro Longwear Concealer','MAC',$24.00,15,4.30
'Superpowder Double Face Makeup','Clinique',$27.00,6,4.60
'Online Only Hangover Dynamic Duo','Too Faced',$42.00,0,4.90
'Stay Matte Sheer Pressed Powder','Clinique',$27.00,11,4.60
'Pure Radiant Tinted Moisturizer','NARS',$45.00,12,4.30
'Hydrating Face Primer','ULTA',$18.00,0,4.50
'Amazonian Clay 12 Hour Blush','Tarte',$29.00,12,4.60
'Under Eye Brightening Corrector','BECCA',$32.00,2,4.30
'Creaseless Undereye Concealer','Tarte',$26.00,30,3.40
'PreCleanse','Dermalogica',$45.00,0,4.70
'Powder Blush','MAC',$24.00,10,4.50
'No. 50 Serum Collagen Veil Anti-Aging Primer','It Cosmetics',$48.00,0,4.50
'Infallible Pro-Matte Liquid Longwear Foundation','L'Oréal',$12.99,12,4.10
'Prime Time Foundation Primer','BareMinerals',$25.00,0,4.50
'Optical Illusion Complexion Primer','Urban Decay Cosmetics',$36.00,0,4.50
'Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15','Clinique',$29.00,29,4.40
'Wanderlust Primer Infused Blush','Buxom',$22.00,6,4.80
'bareSkin Complete Coverage Serum Concealer','BareMinerals',$22.00,6,4.40
'Girls Will Be Boys Lipstick &amp; Primer','Lipstick Queen',$25.00,0,4.00
'Halo Hydrating Powder Foundation','Smashbox',$49.00,7,4.50
'Tutti Frutti - Dew You Fresh Glow Luminous Face Primer','Too Faced',$34.00,3,4.70
'Perfectionist Youth-Infusing Serum Makeup SPF 25','Estée Lauder',$50.00,13,4.20
'Bye Bye Under Eye Corrector','It Cosmetics',$29.00,3,4.20
'Celebration Foundation Illumination','It Cosmetics',$36.00,7,4.30
'Demi Matte Foundation','ULTA',$14.00,10,4.10
'Naked Flushed','Urban Decay Cosmetics',$34.00,6,4.40
'Gel Color Lip + Cheek Balm','NUDESTIX',$26.00,5,4.40
'BECCA x Khloé Kardashian &amp; Malika Haqq Bronze, Blush &amp; Glow Palette','BECCA',$44.00,2,4.10
'Naked Skin One &amp; Done','Urban Decay Cosmetics',$36.00,6,4.30
'Acne Solutions Liquid Makeup','Clinique',$29.00,16,4.40
'Can&#39;t Stop Won&#39;t Stop Foundation','NYX Professional Makeup',$15.00,45,3.70
