product name,brand,price,number of colors,rating
'Vanish™ Seamless Finish Liquid Foundation','Hourglass',$56.00,31,3.5
'Skin Weightless Powder Foundation','Bobbi Brown',$50.00 - $52.00,17,4
'Photo Finish Primer Water','Smashbox',$15.00 - $32.00,0,4
'Hello FAB Pores Be Gone Matte Primer','First Aid Beauty',$28.00,0,5
'Blur Stick','MILK MAKEUP',$14.00 - $36.00,0,3.5
'Sheer Finish Pressed Setting Powder','Bobbi Brown',$42.00,3,4.5
'Born This Way Ethereal Setting Powder','Too Faced',$15.00 - $33.00,3,4.5
'Natural Face Palette','Too Faced',$44.00,0,4.5
'Invincible Setting Powder SPF 45','Supergoop!',$30.00,3,3.5
'Bye Bye Breakout™ Full-Coverage Concealer','IT Cosmetics',$28.00,6,4
'SKIN FEELS GOOD Skin Nourishing Foundation','Lancôme',$35.00,9,4.5
'Hollywood Contour Wand','Charlotte Tilbury',$38.00,1,4
'Lock-It Finishing Powder Refill','Kat Von D',$19.00,3,4.5
'Confidence in a Foundation','IT Cosmetics',$32.00,47,3.5
'Contour Kit','Anastasia Beverly Hills',$40.00,0,4
'BACKSTAGE Glow Face Palette','Dior',$45.00,0,4.5
'Photo Finish Foundation Primer Light','Smashbox',$15.00 - $36.00,0,4
'Naked Flushed Palette','Urban Decay',$34.00,3,4
'3D Highlighter Palette','HUDA BEAUTY',$45.00,2,4.5
'bareSkin™ PERFECTING VEIL Finishing Powder','bareMinerals',$27.00,3,4
'Blended Face Powder and Brush','CLINIQUE',$27.00,3,4.5
'2 To Hoola Bronzer Set','Benefit Cosmetics',$30.00,0,No
'Luminous Silk Powder Foundation','Giorgio Armani Beauty',$62.00,7,4.5
'Dualist Matte and Illuminating Concealer','Wander Beauty',$29.00,4,4
'Cocoa Contour Palette','Too Faced',$44.00,0,4.5
'Translucent Loose Setting Powder Glow','Laura Mercier',$23.00 - $39.00,2,4.5
'Ride Or Die Full Face Set','tarte',$49.00,0,5
'Holographic Highlighting Powder','MILK MAKEUP',$24.00,1,4
'Jessica Rabbit Glow-To Highlighter','Ciaté London',$32.00,0,4.5
'Nothing Beats the Original™ Complexion Kit','bareMinerals',$34.00,7,4
'Naked Skin One & Done Hybrid Foundation','Urban Decay',$36.00,5,4
'TOP SECRETS Instant Moisture Glow','Yves Saint Laurent',$40.00,0,4.5
'Superbalanced Makeup','CLINIQUE',$27.00,15,4
'L’Or Radiance Primer','Guerlain',$74.00,0,4
'Velvet Matte Foundation Stick','NARS',$45.00,17,3.5
'Double Wear Stay-In-Place Flawless Wear Concealer','Estée Lauder',$28.00,9,4.5
'Matte Radiance Baked Powder Compact','Laura Mercier',$42.00,3,4.5
'Artist Face Color Highlight, Sculpt and Blush Powder','MAKE UP FOR EVER',$23.00,33,4.5
'N° 28 Primer Serum','Hourglass',$22.00 - $65.00,0,4.5
'Match Stix By The Dozen','FENTY BEAUTY by Rihanna',$129.00,0,4.5
'The Luminous Lifting Cushion Foundation SPF 20 + Refill','La Mer',$120.00,11,4
'All Nighter Waterproof Setting Powder','Urban Decay',$34.00,0,4
'Aqua Foundation','Koh Gen Do',$70.00,9,4
'The Sheer Pressed Powder','La Mer',$95.00,3,4.5
'Météorites Baby Glow Sheer Liquid Foundation','Guerlain',$54.00,2,4.5
'Kitten Mini Shade + Light Contour Duo','Kat Von D',$23.00,2,3.5
'The Etherealist Foundation','KEVYN AUCOIN',$58.00,15,4
'Aqua Luminous Perfecting Foundation','BECCA',$44.00,8,3.5
'Boi-ing Hydrating Concealer','Benefit Cosmetics',$22.00,5,4
'Mineral Veil Setting Powder Broad Spectrum SPF 25','bareMinerals',$24.00,0,4.5
'Rebound & All Nighter Prep & Set Mini Spray Duo','Urban Decay',$19.00,0,3.5
'MAQUICOMPLET - Complete Coverage Concealer','Lancôme',$31.00,13,4.5
'Bye Bye Pores™ Poreless Finish Airbrush Powder','IT Cosmetics',$29.00,0,3.5
'Shameless Youthful-Look 24H Foundation SPF 25','Marc Jacobs Beauty',$46.00,28,4
'Dandelion Box o’ Powder Blush','Benefit Cosmetics',$16.00 - $30.00,1,4.5
'Hello Happy Soft Blur Foundation','Benefit Cosmetics',$10.00 - $29.00,16,4
'Photo’Perfexion Fluid Foundation SPF 20','Givenchy',$52.00,5,4.5
'Highlight Lowlight Face Contour Duo','SEPHORA COLLECTION',$20.00,3,3
'Highlighter','MILK MAKEUP',$14.00 - $24.00,2,4
'Chill Cooling and Hydrating Makeup Setting Spray','Urban Decay',$32.00,0,4.5
'Sephora + PANTONE UNIVERSE Correct + Conceal Palette','SEPHORA COLLECTION',$49.00,1,4
'Perfect Pressed Setting Powder','COVER FX',$32.00,2,4.5
'Nudies Tinted Blur Stick','NUDESTIX',$30.00,9,4
'All Hours Concealer','Yves Saint Laurent',$34.00,11,4.5
'Maestro Fusion Makeup Octinoxate Sunscreen SPF 15','Giorgio Armani Beauty',$64.00,10,4.5
'Under(cover) Perfecting Coconut Face Primer','Marc Jacobs Beauty',$44.00,0,4
'Hamptons Weekender Contour Palette','tarte',$19.00,0,4.5
'Radiant Luminizing Drops','SEPHORA COLLECTION',$14.00,1,4
'Diorskin Nude Luminizer Shimmering Glow Powder','Dior',$48.00,5,4.5
'Diamond Light Multi-Use Highlighter','Too Faced',$34.00,2,4
'Invisible Bronze™ Powder Bronzer','bareMinerals',$28.00,3,4.5
'Primed & Poreless Pressed Powder','Too Faced',$30.00,0,4
'Boi-ing Brightening Concealer','Benefit Cosmetics',$22.00,4,4
'Clay Stick Foundation','tarte',$39.00,11,3.5
'Vibrancy Argan Oil Full Coverage Concealer Fluid','Josie Maran',$28.00,6,4
'No Makeup Foundation Serum Broad Spectrum SPF 25','Perricone MD',$60.00,7,4.5
'Ultra HD Perfector Skin Tint Foundation SPF 25','MAKE UP FOR EVER',$20.00 - $36.00,12,4
'Smooth Operator™ Amazonian Clay Finishing Powder','tarte',$33.00,0,4
'Ultra Repair® Tinted Moisturizer Broad Spectrum SPF 30','First Aid Beauty',$28.00,9,4
'Black Label Detox BB Beauty Balm','Dr. Jart+',$36.00,0,4
'8 HR Mattifying Compact Foundation','SEPHORA COLLECTION',$20.00,14,4
'Secret Camouflage','Laura Mercier',$35.00,7,4
'SKINLONGEVITY™ Vital Power Infusion Serum','bareMinerals',$38.00 - $58.00,0,4.5
'Blur + Set Matte Loose Setting Powder','MILK MAKEUP',$29.00,2,4.5
'Bar Of Gold Highlighting Palette','Charlotte Tilbury',$58.00,0,4
'Try-Me: Face Primer Mini Set','Smashbox',$29.00,0,5
'Blurring Primer','COVER FX',$38.00,0,4
'Rōsilliance™ Organic BB+ Cream SPF 30','COOLA',$52.00,2,4
'Stick Foundation','Anastasia Beverly Hills',$25.00,29,3.5
'Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15','Estée Lauder',$42.00,7,4
